Country Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
HKG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HND,11325.84,11440.6,11750.99,11554.72,12241.49,13005.94,12607.23,12631.28,12880.97,12184.86,12537.8,13417.02,13815.3,15635.37,16456.15,16402.32,17377.11,18086.02,18119.25,18052.21,18298.19,19419.08,19885.01,20409.44,20680.67,21233.4,21153.89,20928.61,22162.89,22388.7,,
HRV,28572.3,22238.65,23235.94,24079.77,24161.84,25472.37,24636.49,26232.03,26591.66,26177.03,25211.63,26030.46,27077.41,28184.51,27910.33,27848.25,28577.18,30083.84,29263.99,26713.36,26153.77,25871.76,23893.47,22802.64,21997.32,22608.68,22670.63,23318.47,22212.91,22257.68,,
HUN,89095.13,84055.7,74165.21,74637.27,74363.41,72651.89,74868.36,73183.68,73114.11,73906.28,70920.45,73043.94,71423.33,74195.77,73079.43,72392.62,71664.69,69496.08,68129.64,62290.82,62249.92,61493.19,57614.53,55255.02,55545.83,58481.3,58875.59,60908.39,61005.79,60586.46,,
IDN,476193.6,495636.9,516351.4,531719.4,552085.0,586500.3,607886.0,632996.9,640552.2,660121.3,666469.1,680427.3,681903.2,703789.1,709518.6,705584.7,727469.9,738266.0,731756.0,747667.5,768882.0,829889.6,834256.5,799100.3,844296.7,849513.1,847582.3,893588.3,958076.1,1002369.0,,
IND,1219554.0,1273252.0,1298279.0,1331218.0,1375475.0,1440608.0,1492171.0,1551532.0,1581956.0,1658414.0,1697226.0,1719686.0,1738531.0,1779369.0,1866495.0,1940032.0,2037300.0,2180787.0,2280999.0,2423802.0,2533993.0,2645627.0,2795864.0,2863836.0,3044960.0,3064543.0,3106343.0,3242172.0,3388915.0,3394872.0,,
IRL,56484.48,57014.17,57184.26,57830.3,59255.0,60067.17,61415.16,62845.1,66135.53,67859.43,71058.25,73291.74,72540.4,72804.05,72029.01,73290.78,73878.32,72140.34,71181.46,65927.92,64567.21,60944.92,62313.93,61362.45,61532.87,63430.56,65997.29,65493.51,63695.3,61475.62,,
IRN,324624.2,352984.6,374787.7,382808.9,415218.4,425733.3,440679.4,459706.8,462126.5,499734.1,527422.3,541863.0,557000.4,593175.9,629768.1,668608.0,711477.5,747387.3,755559.1,778672.7,781817.8,793622.6,793952.4,815308.5,844128.2,844142.3,880988.8,912706.3,925524.8,893723.9,,
IRQ,120280.0,62919.11,88873.28,116225.4,132290.1,130523.7,129071.5,162639.8,153731.2,143558.6,160806.6,169070.2,155416.6,129405.9,150615.8,145785.1,146443.5,142991.1,161607.3,172689.4,188674.2,202034.9,228185.2,241803.8,241977.5,253932.6,276849.7,292605.6,303534.4,320817.0,,
ISL,3343.637,3224.025,3022.133,2983.278,3065.15,2994.628,3252.137,3222.786,3367.864,3337.215,3375.089,3256.067,3315.983,3286.951,3355.702,3314.19,3786.691,3792.273,3683.088,3353.423,3232.892,3039.416,3028.591,3195.981,3256.594,3306.44,2836.462,2893.43,2910.89,2851.035,,
ISR,44108.05,45180.49,47978.53,52049.47,55393.28,59241.24,62355.86,65391.78,66745.48,68959.71,73847.87,73686.29,75662.89,76475.02,77582.69,76231.84,80510.57,83665.77,84350.51,83820.54,89291.65,89082.25,95586.11,87127.22,85289.76,87234.76,86946.38,88473.64,84770.71,87178.82,,
ITA,483256.6,480849.5,477839.2,471878.7,466929.8,492358.6,488924.7,492803.6,504234.4,511859.0,517318.1,515968.0,525255.9,544122.7,555849.3,557229.1,545314.7,538466.8,523489.8,474465.1,483088.3,472474.6,454261.3,422296.1,402581.8,414245.2,409767.8,404497.0,398029.5,389003.8,,
JAM,9011.689,9009.308,9814.684,10014.69,10054.08,10386.83,10723.5,10864.08,11405.91,11690.79,11796.52,11819.16,11993.87,12418.56,12330.52,12286.98,13498.01,13414.92,11011.86,9259.991,8870.305,8960.599,8431.723,8890.513,8699.753,8591.439,9086.854,8743.984,10161.2,9965.399,,
JOR,18628.32,19081.88,21828.41,22555.67,23657.49,23289.46,22522.88,22037.26,21243.14,20308.27,20878.25,20982.18,21768.27,22347.95,23958.75,25481.68,26284.9,27779.39,27043.94,27778.18,27517.17,28458.57,32024.62,32338.66,34485.57,34958.6,35261.33,37067.8,36205.07,36568.12,,
JPN,1181921.0,1197373.0,1210476.0,1203898.0,1261685.0,1277001.0,1291858.0,1279894.0,1233528.0,1259831.0,1276561.0,1254129.0,1286687.0,1294592.0,1286310.0,1287648.0,1266297.0,1302137.0,1235206.0,1176710.0,1234728.0,1293440.0,1336090.0,1348191.0,1305832.0,1270472.0,1261870.0,1246640.0,1204368.0,1166510.0,,
KAZ,296718.2,304777.7,306834.2,271036.4,250003.8,221276.4,195504.6,172149.9,172861.6,157960.2,156871.9,155926.7,182361.4,192696.6,209046.2,222798.6,241831.2,253603.5,300190.2,271196.6,290568.8,305448.3,303254.4,317530.5,268834.2,250218.9,259510.4,279963.5,278541.2,274666.4,,
KEN,34976.95,33706.43,33679.67,33450.75,33683.17,34009.19,33330.13,33028.81,34264.16,36213.15,35043.62,34455.97,35356.4,36299.67,38926.53,39296.81,39519.01,56066.22,57150.55,57346.17,58742.15,60647.65,59558.04,61102.16,63704.46,65911.87,71642.67,68193.01,68700.53,81012.89,,
KGZ,32483.35,30191.48,22586.3,17782.12,12607.43,9920.521,10826.16,10693.58,10932.72,9544.777,9491.194,8882.187,9850.354,10486.39,10631.96,10318.64,10401.89,11650.17,12807.98,12416.53,12053.98,13463.12,16060.02,15561.47,16133.53,16614.69,16194.92,15977.22,18061.6,16907.28,,
KHM,16130.66,15826.56,16358.8,17174.65,15999.58,18637.9,18928.55,19133.81,19218.73,20479.81,19379.77,19389.96,19829.15,21317.28,21182.02,22592.74,24165.8,25321.28,25950.57,27279.79,27846.19,29108.32,28708.0,28694.35,29451.44,31141.81,34158.02,36897.86,38728.72,40061.12,,
KNA,184.71,187.231,229.159,214.692,225.836,233.021,235.091,245.615,265.659,269.191,278.329,294.981,319.678,313.757,323.916,309.874,323.248,340.497,343.435,801.794,342.09,379.913,434.077,322.299,323.615,334.567,342.626,342.619,346.522,350.733,,
KOR,280754.9,308958.3,334393.0,366075.5,394325.1,427285.5,455411.2,481342.7,416076.1,453992.4,511979.2,528822.6,521366.7,529152.7,553064.7,548410.0,556735.0,566658.0,579545.9,593475.5,645516.9,669567.5,673008.0,673438.7,662921.1,683861.1,694678.0,708428.2,715499.2,698457.7,,
KWT,39057.46,10607.59,32097.64,46351.7,54007.1,53825.25,53883.25,56464.17,61225.91,63991.33,69825.49,72924.25,74793.62,79933.95,85097.89,94353.98,97990.83,96009.96,102935.7,103190.1,107358.8,113056.4,117633.4,121870.6,121112.2,125981.9,131717.0,131104.0,133836.4,136691.9,,
LBN,7273.469,8777.033,8840.137,12246.96,13188.4,15485.65,16527.43,18745.78,19103.98,20084.09,18915.63,20241.26,20218.44,20911.49,21471.46,20889.38,19951.71,18885.95,22679.3,26145.24,25252.13,25930.37,28571.79,28550.85,30740.35,32882.39,34053.17,35931.77,34676.75,35209.91,,
LCA,900.718,925.762,1041.49,1045.057,1098.246,1049.847,984.865,908.337,823.336,741.544,644.308,683.942,687.295,703.696,710.932,709.592,746.232,759.176,775.917,1652.283,826.918,888.961,1056.716,817.042,825.06,826.988,835.89,866.467,869.21,881.65,,
LKA,23896.57,23741.44,25507.53,25824.69,26601.82,26719.77,26592.35,24633.81,22128.76,21531.55,20807.77,20561.76,21451.53,22624.47,22775.69,24721.5,23141.36,24082.67,24339.81,23507.1,24771.01,27567.03,29123.5,26585.07,29383.98,33281.87,33865.4,34469.48,33694.73,35985.18,,
LSO,1936.907,1936.403,2098.001,2068.987,2033.822,1966.902,1939.991,1907.23,1830.655,2360.563,2286.651,2265.78,2091.037,2147.155,2092.274,2263.79,2204.233,2271.087,2211.652,2298.855,2305.215,2381.08,2436.653,2322.49,2302.918,2341.398,2355.287,2521.88,2527.254,2526.989,,
